"id","bw0"
"26305","38.7"
"26306","29.1"
"26307","28.2"
"26308","27.7"
"26309","29.1"
"26310","30.7"
"26311","28.3"
"26312","25.4"
"26313","28.1"
"26314","26.9"
"26315","34.1"
"26316","27.8"
"26317","29.2"
"26318","29"
"26319","28.4"
"26320","27.9"
"26321","28.4"
"26322","35.3"
"26323","29.6"
"26324","31.3"
"26325","28.7"
"26326","29.3"
"26327","27.5"
"26328","25.6"
"26329","27.8"
"26330","26.9"
"26331","35.1"
"26332","26.5"
"26333","26.5"
"26334","31.1"
"26335","29.1"
"26336","23.7"
"26338","29"
"26339","29.9"
"26340","29.8"
"26341","30.9"
"26342","28.6"
"26343","28.6"
"26344","28.1"
"26345","28.7"
"26346","32.1"
"26347","31.8"
"26348","29.8"
"26349","30.8"
"26350","27.7"
"26351","25.7"
"26353","33.5"
"26354","24.8"
"26501","25"
"26502","25.7"
"26503","26.7"
"26504","23.3"
"26505","24.4"
"26506","25.7"
"26507","25.4"
"26508","23.3"
"26509","28"
"26510","27.5"
"26511","21.5"
"26512","24.3"
"26513","23.2"
"26514","29.1"
"26515","26.9"
"26516","27.4"
"26517","24.4"
"26518","23.1"
"26519","26.9"
"26520","24.9"
"26521","25.2"
"26522","24.2"
"26523","24.9"
"26524","24.4"
"26525","26.5"
"26526","27.5"
"26527","22"
"26528","29"
"26529","25.7"
"26530","23.9"
"26531","28.5"
"26532","23.8"
"26533","24.5"
"26534","22.7"
"26535","23.1"
"26536","25.5"
"26537","24.4"
"26538","24.1"
"26539","23.4"
"26540","20.7"
"26541","25.7"
"26542","23.3"
"26543","28.6"
"26544","25.9"
"26545","26.6"
"26546","23.1"
"26547","28.8"
"26548","22.8"
"26646","26.4"
"26647","25.9"
"26648","29.2"
"26649","24.6"
"26650","26.3"
"26651","24"
"26652","25.3"
"26653","29.8"
"26654","24.7"
"26655","22.7"
"26656","29.5"
"26657","23.7"
"26658","29.7"
"26659","25.8"
"26660","29.3"
"26661","25.3"
"26662","24.9"
"26663","26"
"26664","24.6"
"26665","30.1"
"26666","27.5"
"26667","24.8"
"26668","29.8"
"26669","25.8"
"26670","26.5"
"26671","27.4"
"26672","25.5"
"26673","31.3"
"26701","25.5"
"26702","27.9"
"26703","27.7"
"26704","25.2"
"26705","24.6"
"26706","25.5"
"26707","26.5"
"26708","24.9"
"26709","26.6"
"26710","24.2"
"26711","26.4"
"26712","30.4"
"26713","24.5"
"26714","24.1"
"26715","24.3"
"26716","26.4"
"26717","21.5"
"26718","28.5"
"26719","28.8"
"26720","26.6"
"42401","23.3"
"42402","24.5"
"42403","19"
"42404","22.7"
"42405","21.4"
"42406","23.7"
"42407","23"
"42408","23.5"
"42409","23.8"
"42410","21.4"
"42411","24.7"
"42412","22.9"
"42413","22.9"
"42414","22.6"
"42415","23"
"42416","18.5"
"42417","22.2"
"42418","22.5"
"42419","23.7"
"42420","21.1"
"42421","22"
"42422","22.9"
"42423","23.6"
"42424","22.3"
"42425","23.6"
"42426","24.8"
"42427","23"
"42428","22.1"
"42429","22.7"
"42430","22.4"
"42431","24.1"
"42432","22.9"
"42433","22.1"
"42434","25.1"
"42435","20.3"
"42436","22.3"
"42437","22"
"42438","21.1"
"42439","20.1"
"42440","22.6"
"42441","23.8"
"42442","22.9"
"42443","23.7"
"42444","21.6"
"42445","22.3"
"42446","19.6"
"42447","27.4"
"42448","23"
"42601","32"
"42602","29"
"42604","26.5"
"42605","22.5"
"42606","25.6"
"42609","32.5"
"42610","22.4"
"42611","23.1"
"42612","29"
"42613","25.2"
"42614","27.5"
"42615","25.2"
"42616","19.4"
"42617","26"
"42618","25"
"42619","22.6"
"42620","26"
"42621","23.1"
"42622","20.1"
"42623","20.4"
"42624","19.7"
"42625","24.3"
"42626","23.1"
"42627","19.9"
"42628","24.3"
"42629","23.2"
"42630","27.5"
"42631","20.2"
"42632","22.8"
"42633","29.8"
"42634","32.1"
"42635","33.7"
"42636","30.4"
"42637","32.6"
"42638","15.3"
"42639","34"
"42640","32.8"
"42642","24.7"
"42644","28.4"
"42645","24.1"
"42646","24.4"
"42647","23.9"
"42811","23.2"
"42812","20.2"
"42813","20.7"
"42814","25.9"
"42815","24.8"
"42816","23.9"
"42817","14.8"
"42818","17.1"
"42819","20.7"
"42820","18.9"
"42821","17.4"
"42822","19.9"
"42823","18.8"
"42824","26.2"
"42825","14.3"
"42826","22"
"42827","21.9"
"42828","24"
"42829","16.5"
"42830","19.7"
"42831","21.1"
"42832","20.6"
"42833","22.8"
"42834","17.3"
"42835","24.8"
"42836","25.8"
"42837","25.3"
"42838","19.4"
"42839","25.1"
"42840","21"
"42841","19.4"
"42842","17.9"
"42843","24.2"
"42844","26.8"
"42845","24.7"
"42846","20.4"
"42847","26.2"
"42848","27.4"
"42849","27.8"
"42850","20.1"
"42851","18"
"42852","21.4"
"42853","20.6"
"42854","13.4"
"42855","25.4"
"42856","23.4"
"42857","15.8"
"42858","19.9"
"42865","31.9"
"42866","22.9"
"42867","26"
"42869","22.5"
"42870","19.8"
"42871","22.8"
"42916","27.1"
"42917","24.3"
"42918","25.2"
"42919","24.8"
"42920","25.1"
"42921","25.2"
"42922","28.8"
"42923","23.4"
"42924","26.7"
"42925","24"
"42926","26"
"42927","24.5"
"42928","25"
"42929","24.9"
"42930","24.9"
"42931","29.2"
"42932","26"
"42933","25.3"
"42934","24.8"
"42935","26.6"
"42936","26.6"
"42937","24"
"42938","28.4"
"42939","27.5"
"42940","24.5"
"42941","25.5"
"42942","26.2"
"42943","24.6"
"42944","27.3"
"42945","28.3"
"42946","25.4"
"42947","26.6"
"42948","24.9"
"42949","26"
"42950","26.1"
"42951","25.9"
"42952","26.7"
"42953","26.2"
"42954","25.9"
"42955","26.5"
"42956","24.9"
"42957","27.5"
"42958","25.2"
"42959","26.7"
"42960","30.4"
"42961","24.5"
"42962","25.8"
"42963","24.5"
"43143","30.2"
"43144","24.8"
"43145","25.8"
"43146","25.4"
"43147","23.7"
"43148","29.5"
"43149","22"
"43150","25.3"
"43151","26.8"
"43152","28.1"
"43153","30.5"
"43154","25.6"
"43155","28.7"
"43156","27.2"
"43157","25"
"43158","22.8"
"43159","31.8"
"43160","26.7"
"43161","27.3"
"43162","27.8"
"43163","23.7"
"43164","24.5"
"43165","25.1"
"43166","24.6"
"43167","31.9"
"43168","28"
"43169","23.8"
"43170","26.6"
